                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1124,                 2.0169,                  1.387,                 1.1097,                0.70117,                0.57966,                0.60925,                0.45337,                0.70768,                0.55552,                0.59057,                0.41383,                 0.9052,                    nan,                0.95891,                 1.0242,               0.070056,              0.0033271,              0.0033271
                      1,                0.98483,                 1.6572,                0.94473,                 1.0078,                0.65378,                0.54823,                0.57409,                0.41894,                0.64395,                0.54213,                0.55944,                0.38626,                0.95739,                    nan,                 1.0466,                  1.025,               0.040023,              0.0066274,              0.0066274
                      2,                 1.0282,                   1.69,                0.96713,                 1.0203,                0.60332,                0.50279,                0.51079,                  0.356,                0.55601,                0.51703,                 0.4893,                0.31906,                 1.0628,                    nan,                   1.37,                 1.0827,              0.0099575,              0.0098948,              0.0098948
                      3,                 1.0641,                 1.7193,                0.97469,                 1.0355,                0.68075,                0.53388,                0.57703,                0.41968,                0.67814,                0.52671,                0.56307,                0.37444,                0.99102,                    nan,                 1.0985,                 1.0533,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0313,                 1.6531,                0.92214,                 1.0231,                0.64482,                0.58229,                0.55524,                0.39597,                0.64548,                 0.5701,                0.54209,                0.36791,                0.98158,                    nan,                 1.0187,                 1.0579,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0039,                 1.5927,                0.87194,                  1.011,                0.73298,                0.58956,                0.64036,                0.46892,                0.72791,                0.56759,                0.61691,                0.43178,                0.93526,                    nan,                0.89782,                 1.0426,               0.009802,               0.009802,               0.009802
                      6,                0.98439,                 1.5441,                0.84495,                 1.0059,                0.71653,                0.58911,                0.63055,                0.46198,                0.70618,                0.58193,                0.61559,                0.43306,                 0.9559,                    nan,                0.88675,                 1.0443,              0.0097525,              0.0097525,              0.0097525
                      7,                0.96819,                 1.5014,                0.81133,                0.99292,                0.72604,                0.59555,                0.64503,                0.48135,                0.72142,                 0.5848,                0.62626,                0.43812,                0.92386,                    nan,                0.85217,                 1.0319,               0.009703,               0.009703,               0.009703
                      8,                0.94945,                 1.4819,                0.78818,                0.98704,                0.74735,                0.59484,                0.64154,                0.47437,                0.73343,                0.58587,                0.62709,                0.43394,                0.91382,                    nan,                0.90914,                 1.0245,              0.0096535,              0.0096535,              0.0096535
                      9,                0.93688,                 1.4548,                 0.7663,                0.98314,                0.78623,                0.60703,                0.67179,                0.49591,                0.78402,                 0.5896,                0.64669,                0.45316,                0.90258,                    nan,                0.81591,                 1.0119,               0.009604,               0.009604,               0.009604
                     10,                0.91876,                 1.4215,                0.74779,                0.97421,                0.73168,                0.59771,                 0.6513,                0.48812,                0.73141,                0.58049,                0.63204,                 0.4445,                0.91294,                    nan,                0.85143,                 1.0247,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91069,                 1.4176,                0.72933,                0.96971,                0.79227,                0.63452,                0.67901,                0.50385,                0.77542,                0.61527,                0.65465,                0.45698,                  0.887,                    nan,                 0.7944,                 1.0054,               0.009505,               0.009505,               0.009505
                     12,                0.90029,                 1.4138,                0.72136,                0.96634,                0.79197,                0.61241,                0.67499,                 0.5085,                 0.8028,                0.59699,                0.66314,                0.46853,                0.89158,                    nan,                0.78848,                 1.0186,              0.0094555,              0.0094555,              0.0094555
                     13,                0.89754,                 1.3742,                0.70236,                0.96301,                0.76466,                0.63841,                0.67035,                0.50513,                0.78709,                0.60488,                0.65291,                0.46342,                0.87637,                    nan,                0.78783,                 1.0133,               0.009406,               0.009406,               0.009406
                     14,                0.87592,                 1.3505,                 0.6771,                0.95552,                0.79973,                0.65004,                0.70094,                0.52451,                0.76429,                0.64291,                0.68212,                0.48118,                0.88708,                    nan,                0.75182,                 1.0171,              0.0093565,              0.0093565,              0.0093565
                     15,                0.86972,                 1.3377,                 0.6742,                0.95423,                0.79702,                0.65326,                0.70828,                  0.528,                0.78259,                0.63822,                0.68062,                0.48382,                0.88965,                    nan,                0.73699,                  1.008,               0.009307,               0.009307,               0.009307
                     16,                 0.8653,                 1.3272,                0.66563,                0.95116,                0.79489,                0.65446,                  0.712,                0.53321,                0.78994,                0.64182,                0.68963,                 0.4875,                0.86527,                    nan,                0.74587,                  1.001,              0.0092575,              0.0092575,              0.0092575
                     17,                0.85759,                 1.3095,                0.65109,                0.94834,                0.81686,                0.68126,                0.71959,                0.54054,                0.79644,                 0.6583,                0.69837,                0.49237,                0.85811,                    nan,                0.70508,                0.99555,               0.009208,               0.009208,               0.009208
                     18,                0.84712,                 1.2935,                0.63751,                0.94459,                0.80523,                0.67742,                0.71678,                0.53562,                 0.7938,                0.65471,                0.69035,                0.48886,                0.86262,                    nan,                0.71771,                 0.9968,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.8399,                 1.2722,                0.63258,                0.94312,                0.82022,                0.65328,                0.72767,                 0.5459,                0.81083,                0.63778,                 0.7057,                 0.5045,                 0.8472,                    nan,                0.70455,                0.98946,               0.009109,               0.009109,               0.009109
                     20,                0.84033,                 1.2744,                0.62759,                0.94035,                0.80691,                0.65722,                 0.7121,                0.53651,                0.78759,                0.63428,                0.68606,                0.48682,                0.85129,                    nan,                0.71076,                0.98914,              0.0090595,              0.0090595,              0.0090595
                     21,                0.83288,                 1.2591,                0.61291,                0.93741,                0.81517,                0.68734,                0.73761,                0.55779,                0.81042,                0.66368,                0.71873,                0.51359,                0.83957,                    nan,                0.68227,                0.98362,                0.00901,                0.00901,                0.00901
                     22,                0.82703,                 1.2428,                0.60698,                0.93488,                0.84477,                0.68447,                0.73753,                0.56577,                0.83443,                0.65794,                0.72478,                0.51862,                 0.8218,                    nan,                0.66054,                0.97549,              0.0089605,              0.0089605,              0.0089605
                     23,                0.82029,                 1.2412,                0.59889,                0.93466,                0.82162,                0.67379,                0.72704,                0.55584,                0.80906,                0.66045,                0.69908,                 0.5054,                0.81684,                    nan,                0.67436,                0.97464,               0.008911,               0.008911,               0.008911
                     24,                0.81539,                 1.2292,                0.59573,                0.93305,                0.83472,                0.67587,                0.72813,                0.55932,                0.83056,                0.66434,                0.70842,                0.50965,                0.81058,                    nan,                0.67639,                0.96289,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.8144,                  1.218,                0.58576,                 0.9293,                0.84341,                0.69021,                0.74711,                0.57568,                0.83588,                0.67372,                0.73275,                0.52447,                0.80078,                    nan,                0.64228,                0.95367,               0.008812,               0.008812,               0.008812
                     26,                0.80665,                  1.211,                0.58162,                0.92824,                0.85253,                0.70133,                0.75106,                0.58166,                0.84823,                0.67874,                0.72872,                0.52714,                0.80494,                    nan,                0.64615,                0.96574,              0.0087625,              0.0087625,              0.0087625
                     27,                0.80525,                 1.2101,                0.57556,                0.92518,                0.82913,                0.70384,                0.75152,                0.57898,                0.83247,                0.67659,                0.72956,                 0.5237,                0.79825,                    nan,                0.61594,                0.96493,               0.008713,               0.008713,               0.008713
                     28,                0.80638,                 1.2066,                 0.5747,                0.92543,                0.81669,                0.70605,                0.74923,                 0.5771,                0.81769,                0.68089,                0.73008,                0.52355,                0.80753,                    nan,                0.63381,                0.95635,              0.0086635,              0.0086635,              0.0086635
                     29,                0.79836,                 1.1905,                0.56902,                0.92556,                 0.8409,                0.69172,                0.75298,                0.58147,                0.83613,                0.67121,                0.73024,                0.52664,                0.80587,                    nan,                0.63439,                0.96896,               0.008614,               0.008614,               0.008614
                     30,                0.79139,                 1.1893,                0.55881,                0.92106,                0.84632,                0.69111,                0.75655,                 0.5852,                0.83349,                0.67695,                0.73995,                0.53708,                 0.7966,                    nan,                0.62339,                0.95255,              0.0085645,              0.0085645,              0.0085645
                     31,                0.78835,                 1.1841,                0.55345,                0.92005,                0.83465,                0.72822,                0.76476,                 0.5935,                0.84008,                0.68627,                0.74288,                0.53443,                0.78536,                    nan,                0.60159,                0.95067,               0.008515,               0.008515,               0.008515
                     32,                0.78261,                 1.1622,                0.55295,                0.91733,                0.82827,                0.72457,                0.75897,                0.59103,                0.82137,                0.69667,                0.73996,                0.54098,                0.78441,                    nan,                0.60362,                0.95686,              0.0084655,              0.0084655,              0.0084655
                     33,                  0.778,                  1.161,                 0.5476,                0.91557,                0.82406,                0.70599,                0.75372,                0.58885,                0.83957,                0.67551,                0.74061,                0.53557,                0.77789,                    nan,                0.60805,                 0.9498,               0.008416,               0.008416,               0.008416
                     34,                0.77264,                 1.1566,                0.54339,                0.91507,                0.82787,                0.70778,                0.74965,                0.58461,                0.83641,                0.67981,                0.73266,                0.53025,                0.78315,                    nan,                0.61388,                0.95957,              0.0083665,              0.0083665,              0.0083665
                     35,                0.77371,                 1.1562,                0.53976,                0.91485,                0.86159,                0.68698,                0.75369,                0.59082,                0.85357,                0.67927,                0.73798,                 0.5403,                 0.7786,                    nan,                0.60896,                0.95125,               0.008317,               0.008317,               0.008317
                     36,                0.76713,                 1.1482,                0.53287,                0.91313,                 0.8646,                0.72714,                0.77483,                0.60189,                0.85619,                0.69953,                0.75366,                0.55502,                0.77841,                    nan,                0.58232,                0.95342,              0.0082675,              0.0082675,              0.0082675
                     37,                0.76436,                 1.1388,                0.52716,                 0.9112,                 0.8361,                0.72929,                0.77067,                0.60509,                0.84694,                0.69836,                0.75408,                0.55733,                0.78094,                    nan,                0.58983,                0.96345,               0.008218,               0.008218,               0.008218
                     38,                0.76264,                 1.1286,                0.52735,                0.91005,                0.86173,                0.70276,                0.76426,                0.60142,                0.85324,                0.69021,                0.74702,                0.54601,                0.77499,                    nan,                0.58982,                0.95499,              0.0081685,              0.0081685,              0.0081685
                     39,                0.76143,                 1.1202,                0.52313,                 0.9109,                0.84984,                0.72441,                0.77063,                0.60589,                 0.8503,                0.69243,                0.74768,                0.54406,                0.76904,                    nan,                0.57498,                0.96056,               0.008119,               0.008119,               0.008119
                     40,                0.75009,                  1.123,                0.51886,                0.90902,                0.85725,                0.71701,                0.77307,                0.61018,                  0.846,                0.69531,                0.75169,                0.55513,                0.75907,                    nan,                 0.5776,                0.94499,              0.0080695,              0.0080695,              0.0080695
                     41,                0.74926,                 1.1053,                0.51315,                0.90714,                0.86641,                0.72784,                0.77893,                0.61604,                0.85694,                0.70233,                0.75275,                0.55339,                  0.761,                    nan,                 0.5582,                0.94508,                0.00802,                0.00802,                0.00802
                     42,                0.74986,                 1.1155,                0.51468,                0.90631,                0.86797,                 0.7171,                0.77881,                 0.6166,                0.86269,                0.68934,                0.75546,                0.55427,                 0.7698,                    nan,                0.56558,                0.95469,              0.0079705,              0.0079705,              0.0079705
                     43,                0.74418,                 1.0983,                 0.5091,                0.90382,                 0.8586,                0.74364,                0.78683,                0.62209,                0.86241,                0.69882,                0.76268,                0.56369,                0.75185,                    nan,                0.54999,                0.94797,               0.007921,               0.007921,               0.007921
                     44,                0.74351,                 1.1017,                0.50834,                0.90213,                0.86419,                0.73008,                0.78402,                0.62155,                0.85072,                0.70701,                0.76225,                0.56456,                0.75071,                    nan,                0.55928,                0.94099,              0.0078715,              0.0078715,              0.0078715
                     45,                0.74071,                  1.098,                  0.504,                0.90367,                 0.8514,                 0.7293,                0.77929,                0.61501,                0.84234,                0.69523,                0.75846,                0.55992,                0.75508,                    nan,                0.56516,                0.94021,               0.007822,               0.007822,               0.007822
                     46,                0.73672,                 1.0896,                0.50139,                0.90239,                0.86734,                 0.7455,                0.78927,                0.62378,                0.87254,                0.70491,                0.76792,                0.56657,                0.74755,                    nan,                0.53482,                 0.9412,              0.0077725,              0.0077725,              0.0077725
                     47,                0.73337,                 1.0766,                0.49815,                0.90132,                0.86182,                0.74364,                0.78576,                0.62555,                0.84935,                0.71761,                0.76884,                 0.5711,                0.73761,                    nan,                0.54478,                0.93501,               0.007723,               0.007723,               0.007723
                     48,                0.73119,                 1.0737,                0.49648,                0.89967,                0.86352,                0.74183,                0.78151,                 0.6219,                0.85878,                0.71298,                0.76377,                0.56047,                0.73865,                    nan,                0.55117,                0.93708,              0.0076735,              0.0076735,              0.0076735
                     49,                 0.7264,                 1.0731,                0.49179,                0.89873,                0.88293,                0.73282,                0.78866,                0.62855,                0.88014,                  0.703,                0.76718,                0.57075,                0.73035,                    nan,                0.54326,                0.92495,               0.007624,               0.007624,               0.007624
                     50,                0.72755,                 1.0767,                0.48929,                0.89788,                0.84834,                0.75152,                0.78448,                0.62281,                0.83296,                0.72232,                0.76591,                0.56252,                 0.7367,                    nan,                0.54955,                0.94052,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.7274,                 1.0705,                0.49175,                 0.8968,                 0.8677,                0.74686,                0.78888,                0.62611,                 0.8529,                0.71997,                0.76764,                0.56704,                0.73568,                    nan,                0.53739,                0.93216,               0.007525,               0.007525,               0.007525
                     52,                0.71875,                 1.0555,                0.48727,                 0.8972,                0.87741,                0.74399,                0.79696,                0.63302,                0.86509,                0.71731,                 0.7736,                0.57205,                0.72995,                    nan,                0.52234,                 0.9294,              0.0074755,              0.0074755,              0.0074755
                     53,                0.71967,                  1.059,                0.48404,                0.89629,                0.86864,                0.73897,                0.79112,                0.63322,                0.87039,                0.71208,                0.77096,                 0.5724,                0.72884,                    nan,                0.52426,                0.93591,               0.007426,               0.007426,               0.007426
                     54,                0.71624,                 1.0579,                0.48213,                0.89705,                0.86601,                0.73144,                0.78638,                0.63061,                0.85723,                 0.7171,                0.76899,                0.57317,                0.73343,                    nan,                0.53151,                0.94076,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.7139,                 1.0414,                0.47905,                0.89383,                0.86549,                0.74364,                0.79273,                 0.6362,                0.85898,                0.72176,                 0.7743,                0.57494,                0.72866,                    nan,                0.51904,                0.93138,               0.007327,               0.007327,               0.007327
                     56,                0.71237,                   1.04,                0.47464,                 0.8933,                0.85718,                0.75117,                0.79245,                 0.6382,                0.87588,                0.71316,                0.77206,                0.57548,                0.72562,                    nan,                0.51662,                 0.9313,              0.0072775,              0.0072775,              0.0072775
                     57,                0.71092,                 1.0375,                0.47339,                0.89299,                0.86408,                0.74538,                0.78923,                0.63662,                0.86366,                0.71321,                0.76425,                0.57053,                0.71676,                    nan,                0.52319,                0.92557,               0.007228,               0.007228,               0.007228
                     58,                0.70811,                 1.0448,                0.47205,                0.89185,                0.86739,                0.73862,                0.79319,                0.63882,                0.87477,                0.70957,                0.77336,                0.57534,                0.72435,                    nan,                0.51792,                  0.932,              0.0071785,              0.0071785,              0.0071785
                     59,                0.70966,                  1.038,                0.47414,                  0.894,                0.85672,                0.75188,                 0.7933,                0.63844,                0.86732,                0.72033,                0.77872,                0.57772,                0.71435,                    nan,                0.51368,                0.92526,               0.007129,               0.007129,               0.007129
                     60,                0.70579,                 1.0347,                0.46587,                0.89107,                0.87861,                0.74866,                0.79815,                0.64177,                0.87362,                0.72571,                0.78368,                0.58208,                0.71281,                    nan,                 0.4993,                0.91859,              0.0070795,              0.0070795,              0.0070795
                     61,                0.70447,                 1.0394,                0.46791,                0.89108,                0.87102,                0.75152,                0.79748,                0.64128,                0.85794,                0.73037,                0.78314,                0.58059,                0.71269,                    nan,                 0.5031,                0.91943,                0.00703,                0.00703,                0.00703
                     62,                0.69864,                 1.0221,                0.46394,                0.88928,                0.87622,                0.74758,                0.79677,                0.64193,                0.86948,                 0.7232,                0.78048,                0.58111,                0.70832,                    nan,                0.50293,                0.91968,              0.0069805,              0.0069805,              0.0069805
                     63,                0.69242,                 1.0112,                0.45661,                0.88571,                0.87618,                0.75869,                 0.7992,                0.64309,                0.87234,                0.72463,                0.78393,                0.58173,                0.71058,                    nan,                0.49412,                0.91666,               0.006931,               0.006931,               0.006931
                     64,                0.68992,                 1.0124,                0.45829,                0.88755,                0.88234,                0.75285,                0.79944,                0.64638,                0.87731,                 0.7256,                0.78435,                0.58482,                0.70769,                    nan,                0.49407,                 0.9192,              0.0068815,              0.0068815,              0.0068815
                     65,                0.68999,                 1.0067,                0.45401,                0.88647,                0.88586,                0.74854,                0.80066,                0.64837,                0.88342,                 0.7232,                0.78362,                0.58552,                0.70674,                    nan,                0.49319,                0.91907,               0.006832,               0.006832,               0.006832
                     66,                0.68955,                 1.0055,                0.45618,                0.88662,                0.89222,                0.74866,                0.80048,                0.64701,                0.87356,                0.73252,                0.78272,                0.58442,                0.70837,                    nan,                0.49718,                0.91676,              0.0067825,              0.0067825,              0.0067825
                     67,                0.68878,                 1.0041,                0.45529,                0.88675,                0.89783,                0.74992,                0.80334,                0.64924,                0.88857,                0.73197,                 0.7895,                0.59054,                0.69718,                    nan,                0.48505,                0.90872,               0.006733,               0.006733,               0.006733
                     68,                0.68236,                0.99734,                0.45072,                0.88469,                0.87946,                0.75403,                0.80103,                0.64857,                0.86123,                 0.7379,                0.78577,                0.58936,                0.70105,                    nan,                 0.4958,                 0.9138,              0.0066835,              0.0066835,              0.0066835
                     69,                0.68629,                 1.0048,                0.45184,                0.88364,                0.88501,                0.75869,                0.80596,                0.65042,                0.86502,                0.73762,                0.78435,                0.58743,                0.69645,                    nan,                 0.4826,                0.90886,               0.006634,               0.006634,               0.006634
                     70,                0.68068,                0.99873,                0.44762,                0.88322,                0.87307,                0.76207,                0.80802,                 0.6561,                 0.8894,                 0.7189,                0.78779,                0.59005,                 0.6914,                    nan,                0.48486,                0.90887,              0.0065845,              0.0065845,              0.0065845
                     71,                0.68118,                      1,                0.44866,                0.88349,                0.86489,                0.77118,                0.81293,                0.65798,                 0.8594,                0.73539,                0.79242,                0.59282,                0.69547,                    nan,                  0.485,                0.91031,               0.006535,               0.006535,               0.006535
                     72,                0.67531,                0.98517,                0.44262,                0.88149,                 0.8867,                0.76045,                0.81391,                  0.661,                0.86983,                0.73969,                0.79724,                0.59758,                0.69238,                    nan,                0.47371,                0.91082,              0.0064855,              0.0064855,              0.0064855
                     73,                0.67442,                 1.0004,                0.44473,                0.88159,                0.88459,                0.75576,                0.81087,                0.65908,                0.89102,                0.72643,                0.79714,                0.59988,                0.69138,                    nan,                 0.4769,                0.91069,               0.006436,               0.006436,               0.006436
                     74,                0.67388,                0.97401,                0.44236,                0.87991,                0.87812,                0.76228,                0.80701,                0.65433,                0.87059,                0.73933,                0.79189,                0.59608,                0.69357,                    nan,                0.47941,                0.91176,              0.0063865,              0.0063865,              0.0063865
                     75,                0.67183,                0.97627,                 0.4394,                0.88053,                0.88986,                 0.7561,                0.80904,                0.65613,                0.87566,                0.74041,                  0.793,                0.59666,                0.69022,                    nan,                0.47552,                0.90807,               0.006337,               0.006337,               0.006337
                     76,                0.67052,                0.97115,                0.43568,                0.87888,                0.87907,                0.76109,                0.80824,                0.65609,                0.89163,                0.72607,                0.79219,                0.59507,                0.69014,                    nan,                0.47607,                0.90738,              0.0062875,              0.0062875,              0.0062875
                     77,                0.67058,                0.97951,                0.44062,                0.87982,                0.88347,                0.75869,                0.80845,                0.65696,                0.85683,                0.73933,                0.78916,                0.59566,                0.68823,                    nan,                0.47335,                0.90842,               0.006238,               0.006238,               0.006238
                     78,                0.66878,                0.97542,                0.43593,                0.88113,                0.88649,                0.75885,                0.80871,                0.65639,                0.86978,                0.73754,                0.79106,                0.59622,                0.68553,                    nan,                0.47305,                 0.9056,              0.0061885,              0.0061885,              0.0061885
                     79,                0.66798,                0.96871,                0.43658,                0.87935,                0.88199,                0.76372,                0.81114,                0.65997,                0.88044,                0.72894,                0.79367,                0.59818,                0.68255,                    nan,                0.46841,                0.90417,               0.006139,               0.006139,               0.006139
                     80,                0.65933,                0.96515,                0.43089,                0.87851,                0.88429,                0.76587,                0.81545,                0.66516,                0.86632,                0.73893,                0.79579,                0.59989,                0.67933,                    nan,                0.45942,                0.90243,              0.0060895,              0.0060895,              0.0060895
                     81,                0.66095,                0.95569,                 0.4302,                0.87653,                0.87268,                0.76921,                0.81651,                0.66634,                0.89932,                0.71925,                0.79564,                0.60106,                0.67902,                    nan,                  0.456,                 0.9027,                0.00604,                0.00604,                0.00604
                     82,                0.65804,                0.96213,                0.42751,                0.87599,                0.88138,                0.76551,                0.81799,                0.66741,                0.87687,                 0.7354,                0.79463,                0.60211,                0.67809,                    nan,                0.45364,                0.90408,              0.0059905,              0.0059905,              0.0059905
                     83,                0.65412,                0.95496,                0.42595,                0.87675,                0.89524,                0.76515,                0.81792,                0.66704,                0.88667,                0.73214,                0.79432,                0.60071,                0.67131,                    nan,                0.45588,                0.89954,               0.005941,               0.005941,               0.005941
                     84,                0.65647,                0.95563,                0.42629,                0.87667,                0.90368,                0.75619,                0.81739,                0.66807,                0.89385,                0.73252,                 0.7942,                0.60208,                 0.6687,                    nan,                0.45535,                0.89901,              0.0058915,              0.0058915,              0.0058915
                     85,                0.65657,                 0.9539,                0.42462,                0.87574,                0.89595,                0.76569,                0.81731,                0.66996,                0.88657,                0.73701,                0.79414,                0.60558,                  0.667,                    nan,                0.45535,                0.90018,               0.005842,               0.005842,               0.005842
                     86,                0.65207,                0.95326,                 0.4262,                0.87565,                0.88755,                0.76974,                0.81984,                0.67214,                0.88542,                0.74148,                0.80021,                0.60747,                0.66819,                    nan,                0.45045,                0.90203,              0.0057925,              0.0057925,              0.0057925
                     87,                0.65112,                0.95222,                 0.4231,                0.87568,                0.89118,                0.76637,                0.81929,                0.67036,                0.88793,                0.74148,                0.80072,                 0.6071,                0.66841,                    nan,                0.45054,                0.90319,               0.005743,               0.005743,               0.005743
                     88,                0.65382,                0.94723,                0.42498,                0.87615,                0.89297,                0.76286,                0.81981,                0.67156,                0.88209,                0.74292,                0.80322,                0.60779,                0.66651,                    nan,                0.45331,                0.90171,              0.0056935,              0.0056935,              0.0056935
                     89,                0.64885,                0.93118,                0.42011,                0.87313,                0.87952,                0.77304,                0.82045,                0.67194,                 0.8717,                0.74758,                0.80212,                0.60733,                0.66718,                    nan,                0.45283,                0.90054,               0.005644,               0.005644,               0.005644
                     90,                0.64739,                0.93802,                0.42083,                0.87293,                 0.8797,                0.77698,                0.82019,                0.67328,                0.87646,                0.74789,                0.80476,                0.61042,                0.66474,                    nan,                0.45115,                0.89914,              0.0055945,              0.0055945,              0.0055945
                     91,                0.64786,                0.93482,                0.41745,                0.87308,                0.87598,                0.77746,                0.82215,                0.67543,                0.87096,                0.75296,                0.80666,                0.61185,                0.66535,                    nan,                 0.4495,                0.89949,               0.005545,               0.005545,               0.005545
                     92,                0.64321,                0.93422,                0.41451,                0.87274,                0.88472,                0.76771,                0.82077,                 0.6761,                0.87888,                0.74931,                0.80561,                0.61046,                0.66503,                    nan,                0.45121,                0.89947,              0.0054955,              0.0054955,              0.0054955
                     93,                0.64318,                0.92914,                0.41603,                0.87137,                0.87879,                0.76945,                0.82148,                0.67686,                0.88166,                0.74797,                0.80665,                0.61054,                0.66022,                    nan,                0.44737,                0.89655,               0.005446,               0.005446,               0.005446
                     94,                0.64102,                0.92745,                0.41542,                0.87071,                0.88495,                0.76945,                0.82096,                0.67662,                0.88679,                0.73897,                0.80563,                0.61031,                0.65774,                    nan,                0.44525,                0.89402,              0.0053965,              0.0053965,              0.0053965
                     95,                0.63508,                0.92417,                 0.4128,                0.86949,                0.87513,                0.77897,                0.82149,                0.67731,                0.88833,                0.74256,                0.80932,                0.61137,                0.65494,                    nan,                0.44283,                0.89142,               0.005347,               0.005347,               0.005347
                     96,                0.63847,                0.92207,                0.41109,                 0.8699,                0.88309,                0.77949,                0.82062,                0.67741,                0.87123,                  0.752,                0.80617,                0.61032,                0.65503,                    nan,                0.44478,                0.89167,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.6319,                0.92537,                0.40966,                0.87023,                0.88459,                0.77411,                0.82017,                0.67694,                0.87782,                0.75009,                0.80612,                0.60822,                 0.6548,                    nan,                0.44327,                 0.8915,               0.005248,               0.005248,               0.005248
                     98,                0.63132,                0.91487,                  0.406,                0.86962,                0.88094,                 0.7734,                0.82008,                 0.6773,                 0.8824,                0.74758,                0.80575,                0.60873,                0.65435,                    nan,                0.44287,                0.89167,              0.0051985,              0.0051985,              0.0051985
